2017-05-26 13:35:33 563,403 0.0
2017-05-26 13:35:34 561,401 0.0
2017-05-26 13:35:37 543,269 0.0
2017-05-26 13:35:37 564,398 0.0
2017-05-26 13:35:38 542,268 0.0
2017-05-26 13:35:39 543,268 0.0
2017-05-26 13:35:40 543,269 0.0
2017-05-26 13:35:41 537,266 0.0
2017-05-26 13:35:42 536,267 0.0
2017-05-26 13:35:42 536,266 0.0
2017-05-26 13:35:43 534,264 0.0
2017-05-26 13:35:43 534,265 0.0
2017-05-26 13:35:44 134,10 0.0
2017-05-26 13:35:44 536,266 0.0
2017-05-26 13:35:48 154,9 220.47146402
2017-05-26 13:35:48 535,264 1083.53658537
2017-05-26 13:35:48 385,189 862.621359223
2017-05-26 13:35:49 531,263 1033.13953488
2017-05-26 13:35:50 534,264 1070.48192771
2017-05-26 13:35:51 535,265 1110.625
2017-05-26 13:35:52 536,264 1124.6835443
2017-05-26 13:35:52 535,262 1083.53658537
2017-05-26 13:35:54 384,183 925.520833333
2017-05-26 13:35:55 383,177 955.376344086
2017-05-26 13:35:56 562,392 1931.52173913
2017-05-26 13:35:56 403,94 765.948275862
2017-05-26 13:35:59 530,260 1070.48192771
2017-05-26 13:36:01 383,195 915.979381443
2017-05-26 13:36:01 528,258 1021.26436782
2017-05-26 13:36:06 98,102 1480.83333333
2017-05-26 13:36:09 323,143 2167.07317073
2017-05-26 13:36:10 314,145 2066.27906977
2017-05-26 13:36:11 120,1 482.880434783
2017-05-26 13:36:13 543,403 2019.31818182
2017-05-26 13:36:20 539,262 1184.66666667
2017-05-26 13:36:22 537,262 1153.8961039
2017-05-26 13:36:24 134,4 453.316326531
2017-05-26 13:36:24 126,8 423.095238095
2017-05-26 13:36:24 130,5 211.547619048
2017-05-26 13:36:25 121,17 453.316326531
2017-05-26 13:36:28 550,274 1184.66666667
2017-05-26 13:36:31 142,7 2401.35135135
2017-05-26 13:36:31 285,103 621.328671329
2017-05-26 13:36:32 429,417 1931.52173913
2017-05-26 13:36:32 282,112 569.551282051
2017-05-26 13:36:32 250,231 496.368715084
2017-05-26 13:36:33 223,253 528.869047619
2017-05-26 13:36:36 346,340 1931.52173913
2017-05-26 13:36:36 132,364 2338.15789474
2017-05-26 13:36:36 447,241 945.212765957
2017-05-26 13:36:37 399,186 807.727272727
2017-05-26 13:36:40 110,374 2538.57142857
2017-05-26 13:36:42 106,375 2961.66666667
2017-05-26 13:36:43 111,376 3173.21428571
2017-05-26 13:36:43 315,167 2167.07317073
2017-05-26 13:36:44 341,162 2115.47619048
2017-05-26 13:36:45 98,139 1456.55737705
2017-05-26 13:36:46 164,73 235.676392573
2017-05-26 13:36:47 156,30 217.237163814
2017-05-26 13:36:47 147,30 217.237163814
2017-05-26 13:36:48 138,17 209.058823529
2017-05-26 13:36:48 331,206 2115.47619048
2017-05-26 13:36:48 152,23 228.994845361
2017-05-26 13:36:49 136,18 209.058823529
2017-05-26 13:36:50 128,20 216.180048662
2017-05-26 13:36:51 98,141 1480.83333333
2017-05-26 13:36:52 142,10 433.414634146
2017-05-26 13:36:52 100,71 1974.44444444
2017-05-26 13:36:53 136,22 226.081424936
2017-05-26 13:36:54 98,72 2221.25
2017-05-26 13:36:58 98,104 1558.77192982
2017-05-26 13:37:00 140,428 2692.42424242
2017-05-26 13:37:02 148,12 467.631578947
2017-05-26 13:37:04 141,115 2019.31818182
2017-05-26 13:37:16 302,162 2221.25
2017-05-26 13:37:20 402,426 1931.52173913
2017-05-26 13:37:21 124,4 453.316326531
2017-05-26 13:37:23 123,19 232.591623037
2017-05-26 13:37:31 132,112 1890.42553191
2017-05-26 13:37:31 388,100 807.727272727
2017-05-26 13:37:38 224,148 541.768292683
2017-05-26 13:37:39 217,236 551.863354037
