2017-05-25 08:45:50 447,365 0.0
2017-05-25 08:45:51 449,369 0.0
2017-05-25 08:45:52 449,367 0.0
2017-05-25 08:45:52 448,367 0.0
2017-05-25 08:45:52 479,226 0.0
2017-05-25 08:45:53 449,367 0.0
2017-05-25 08:45:54 485,235 0.0
2017-05-25 08:45:55 420,427 0.0
2017-05-25 08:46:08 438,401 0.0
2017-05-25 08:46:22 206,358 0.0
2017-05-25 08:46:32 412,388 0.0
2017-05-25 08:46:52 325,415 0.0
2017-05-25 08:46:53 432,399 0.0
2017-05-25 08:46:59 396,311 0.0
2017-05-25 08:47:09 443,420 0.0
2017-05-25 08:47:34 408,364 0.0
2017-05-25 08:47:38 474,276 383.544303797
2017-05-25 08:48:03 403,432 891.176470588
2017-05-25 08:48:05 471,274 360.714285714
2017-05-25 08:48:14 264,395 466.153846154
2017-05-25 08:48:20 401,331 522.413793103
2017-05-25 08:48:37 57,394 606.0
2017-05-25 08:48:47 237,316 254.621848739
2017-05-25 08:48:48 470,275 352.325581395
2017-05-25 08:48:49 472,278 369.512195122
2017-05-25 08:48:54 475,280 388.461538462
2017-05-25 08:48:57 194,323 303.0
2017-05-25 08:48:59 207,329 306.060606061
2017-05-25 08:48:59 199,332 306.060606061
2017-05-25 08:49:01 471,277 352.325581395
2017-05-25 08:49:02 471,278 356.470588235
2017-05-25 08:49:02 471,277 360.714285714
2017-05-25 08:49:02 470,275 340.449438202
2017-05-25 08:49:03 472,277 360.714285714
2017-05-25 08:49:03 470,276 352.325581395
2017-05-25 08:49:04 472,278 365.060240964
2017-05-25 08:49:04 472,277 369.512195122
2017-05-25 08:49:08 471,278 365.060240964
2017-05-25 08:49:08 471,278 365.060240964
2017-05-25 08:49:08 471,278 365.060240964
2017-05-25 08:49:10 476,280 393.506493506
2017-05-25 08:49:10 182,356 294.174757282
2017-05-25 08:49:10 472,277 360.714285714
2017-05-25 08:49:11 470,273 344.318181818
2017-05-25 08:49:11 472,278 374.074074074
2017-05-25 08:49:13 473,280 378.75
2017-05-25 08:49:14 471,278 365.060240964
2017-05-25 08:49:14 470,276 352.325581395
2017-05-25 08:49:14 475,279 398.684210526
2017-05-25 08:49:14 199,355 272.972972973
2017-05-25 08:49:15 207,319 246.341463415
2017-05-25 08:49:15 277,343 268.14159292
2017-05-25 08:49:16 232,330 248.360655738
2017-05-25 08:49:17 471,277 360.714285714
2017-05-25 08:49:17 80,265 222.794117647
2017-05-25 08:49:17 470,276 352.325581395
2017-05-25 08:49:17 88,266 227.819548872
2017-05-25 08:49:18 472,278 365.060240964
2017-05-25 08:49:18 472,276 360.714285714
2017-05-25 08:49:19 199,261 238.582677165
2017-05-25 08:49:21 65,282 1165.38461538
2017-05-25 08:49:22 496,311 618.367346939
2017-05-25 08:49:22 500,314 688.636363636
2017-05-25 08:49:23 499,313 658.695652174
2017-05-25 08:49:23 470,274 340.449438202
2017-05-25 08:49:24 470,276 344.318181818
2017-05-25 08:49:24 471,265 352.325581395
2017-05-25 08:49:24 146,131 97.7419354839
2017-05-25 08:49:25 88,210 977.419354839
2017-05-25 08:49:26 71,208 797.368421053
2017-05-25 08:49:26 16,194 658.695652174
2017-05-25 08:49:26 476,226 329.347826087
2017-05-25 08:49:27 479,229 340.449438202
2017-05-25 08:49:28 76,360 594.117647059
2017-05-25 08:49:28 218,320 473.4375
2017-05-25 08:49:28 474,245 360.714285714
2017-05-25 08:49:28 214,322 505.0
2017-05-25 08:49:28 475,246 378.75
2017-05-25 08:49:29 356,404 631.25
2017-05-25 08:49:34 472,246 352.325581395
2017-05-25 08:49:34 475,246 369.512195122
2017-05-25 08:49:35 275,343 776.923076923
2017-05-25 08:49:35 471,246 348.275862069
2017-05-25 08:49:36 472,246 352.325581395
2017-05-25 08:49:36 165,242 227.819548872
2017-05-25 08:49:37 220,369 505.0
2017-05-25 08:49:37 172,242 233.076923077
2017-05-25 08:49:37 205,375 522.413793103
2017-05-25 08:49:37 219,371 452.23880597
2017-05-25 08:49:37 169,238 221.167883212
2017-05-25 08:49:38 213,373 505.0
2017-05-25 08:49:38 163,243 233.076923077
2017-05-25 08:49:38 196,376 561.111111111
2017-05-25 08:49:38 181,380 480.952380952
2017-05-25 08:49:45 113,270 238.582677165
2017-05-25 08:49:46 120,269 224.444444444
2017-05-25 08:49:47 153,318 254.621848739
2017-05-25 08:49:47 159,317 252.5
2017-05-25 08:49:47 159,316 240.476190476
2017-05-25 08:49:48 161,316 242.4
2017-05-25 08:49:48 160,318 250.41322314
2017-05-25 08:49:49 160,317 250.41322314
2017-05-25 08:49:51 151,318 246.341463415
2017-05-25 08:49:52 158,317 252.5
2017-05-25 08:49:53 185,322 270.535714286
2017-05-25 08:49:54 51,248 505.0
2017-05-25 08:49:56 155,337 272.972972973
2017-05-25 08:49:57 160,334 270.535714286
2017-05-25 08:49:58 478,251 409.459459459
2017-05-25 08:49:59 84,211 571.698113208
2017-05-25 08:50:02 74,363 541.071428571
2017-05-25 08:50:11 203,352 473.4375
2017-05-25 08:50:17 479,253 415.068493151
2017-05-25 08:50:20 475,250 378.75
2017-05-25 08:50:20 475,250 378.75
2017-05-25 08:50:21 475,250 378.75
2017-05-25 08:50:22 226,357 315.625
2017-05-25 08:50:22 230,359 332.967032967
2017-05-25 08:50:23 232,362 306.060606061
2017-05-25 08:50:23 475,248 369.512195122
2017-05-25 08:50:24 472,248 348.275862069
2017-05-25 08:50:24 214,290 294.174757282
2017-05-25 08:50:24 400,300 531.578947368
2017-05-25 08:50:24 476,250 378.75
2017-05-25 08:50:25 477,250 388.461538462
2017-05-25 08:50:25 476,249 374.074074074
2017-05-25 08:50:25 476,249 378.75
2017-05-25 08:50:26 476,250 378.75
2017-05-25 08:50:27 475,247 360.714285714
2017-05-25 08:50:27 476,248 374.074074074
2017-05-25 08:50:27 138,347 283.177570093
